Sig.1	Sig.2	Sig.3	Sig.4	Sig.5	Sig.6	Sig.7	Sig.8	Sig.9	Sig.10	Sig.11	Sig.12	Sig.13	Sig.14	Sig.15	Sig.16	Sig.17	Sig.18	Sig.19	Sig.20	Sig.21	Sig.22	Sig.23	Sig.24	Sig.25	Sig.26	Sig.27	Sig.28	Sig.29	Sig.30
Sig.21	0.969740506031277	0	1.90368064117754	2.10346601885109	2.23225107068449	1.74035425216653	1.38875602636144	2.17974577580244	1.68235103310152	0	1.01941423179234	1.22463599583348	0	1.84683662748753	1.24473537679882	2.49014601396572	1.26463360622379	1.94830569727284	1.99401648299105	1.75730390387952	0	1.32594352193677	1.21657148768353	1.7209943047389	1.83568707031346	1.11218511828386	1.33377361159078	1.22484608889193	1.44568622547897	1.61771607607513
Sig.22	0.861447680856044	0	1.90529016185829	1.65649245150579	1.71532684711675	1.85902157724947	1.62383895122329	1.26882954830708	1.91416609489265	0	1.20244503484737	1.78825596868821	0	1.9863447205714	1.57975882882762	1.77433576564589	1.36341990247664	1.75227433025541	1.93584243831748	1.87323708575169	1.83655281867947	0	1.4910486529853	1.74712216937881	1.14289690565433	1.7209556714075	1.63687886544681	1.49398381291551	1.82374769950386	1.57232503349919
Sig.23	1.3402497950131	1.33347830011002	2.29929736811042	1.78015220529733	2.0886667952017	1.70707180493863	1.55249985034595	2.32531390453701	1.9169158823476	0	0.498460691726467	1.84294655950524	0	2.23850405895217	0	2.30753444754429	1.23142715630623	2.02820010002162	0.707180848039963	1.46543135301306	0	1.48664740079953	0	1.65117666587909	2.14993188896057	1.70055344311109	1.57545317056706	1.56232168761103	1.69453112111335	1.75580364420298
Sig.24	1.21023504876069	0	1.29271150301728	1.15983314194808	2.01814576422529	1.61992555072392	1.52392313116476	2.36094982882366	0	1.65222552257107	1.20555343647175	1.78305233395771	0	1.51491244954332	1.48130513900526	2.03478120696314	0	1.54091944274931	1.54672215955766	1.8004812913565	1.1742786740338	1.87788839598139	1.02217474827512	0	1.86285520300604	1.52717195629016	1.29487122513162	1.45519412760575	1.77705955629154	1.46202385565687
Sig.25	0.927635305301603	0	0	1.08467936026203	0.734215436393026	1.17287881046164	0.839776342279467	0	0	0	0.598154673265567	1.09271925848557	0	0.952419925538841	1.04929300708974	1.22767537305583	0	0.926503526683413	0.829921598077618	1.19193165066291	1.05436515343447	0	0.821705410860304	0.892362081364392	0	1.07677234153129	0.944029240856547	1.1737027757612	1.18383315705588	1.65317158419167
Sig.26	0.817972828688864	0	0	1.21782014399259	0	1.68230241928755	0.853456174651133	0	1.437628352026	0	0.788661256350393	1.02189265531777	0	1.17581942271652	0.573143139269378	1.24982351074407	0	1.36254705514547	1.23441891454857	1.54793494524437	1.65944753292776	1.08752487440562	0.876479495672574	1.13868071294224	1.08110278991713	0	1.27196494365207	1.18319943978086	1.3728921156791	1.44823379842323
Sig.27	0	0	1.75191901509278	1.55647873149607	1.55381989851504	0.736207130614447	1.4816225028076	1.48509503395872	1.50544019304636	0	1.47577219855345	1.29843766859632	0	1.5672369793064	0	1.79758287472503	1.7121417568087	1.72097928117555	1.61947287915208	0.861733047587783	1.62967387141917	2.05203477142695	1.52226364654129	1.38479887364728	1.56420746188729	0	0	1.45926823904726	1.5646068074844	1.52583797093278
Sig.28	1.27731357183933	0	0.985532733203683	1.63826174938106	1.23852804709687	1.54400901728916	1.50910811647856	1.46350755757003	0	0	1.60904286138747	0	0	1.59012744882457	1.50808863570863	1.00418597589127	0	1.47288003783932	1.48755027919245	1.36546432707933	1.12404229405914	0	1.55511416001543	1.74551512122925	1.28785580199091	1.20702668801344	0	0	1.56130784709435	1.62271479753755
Sig.29	0	0	0	1.20307314247658	0	0.737889405467109	1.02856519283151	0.998516030823222	1.38870950435308	0	0.706492027486045	1.12426975988772	0	0	0.914940421535017	1.41708110650084	0	1.18275518904118	0	0	0	1.13738017353885	0.868819470369133	0	1.57178447694166	0.704002798101936	0	0.783780462571315	0	1.37253764875599
Sig.30	0	0	0.852104197105106	1.13548390444597	0	0	0.74606037563979	1.67253492584754	1.47264986520874	0	0	1.36469908198084	0	0	0	1.46700986902699	1.00635037702412	0	0	0.822091354527055	0	0	0	0.821538552120167	1.15818752536277	1.09571028235123	0	1.46847428343728	1.3739696020311	0
