Sig.1	Sig.2	Sig.3	Sig.4	Sig.5	Sig.6	Sig.7	Sig.8	Sig.9	Sig.10	Sig.11	Sig.12	Sig.13	Sig.14	Sig.15	Sig.16	Sig.17	Sig.18	Sig.19	Sig.20	Sig.21	Sig.22	Sig.23	Sig.24	Sig.25	Sig.26	Sig.27	Sig.28	Sig.29	Sig.30
0	0.176924983853137	0	0	0.162808491593113	0	0	0.094182981349451	0	0.151975048158564	0	0	0	0	0	0	0.128864328006765	0.107524390884403	0	0	0.137642790701573	0	0.250225958805585	0	0.150364209278248	0.156676367401344	0.184308016243997	0	0.197176340553941	0.1257017331679
1.27020208954727	0	0	0	0	0	0	0	0	0	0.166080048066563	0	0.413998113472028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.205751655476911	0	0	0.468733180647317	0	0	0.311216922941628	0	0	0.0873753509160964	0.201540948717904	0.143067044969118	0	0.0945536821730414	0.183280962030149	0.129749591789346	0	0.133829336419345	0	0	0.102398185893949	0	0.0968472775706798	0.115832806537078	0.217587488725371	0.148636102975495	0	0	-0.0796534783979612
0.689825699778504	-0.150308723516526	3.39683860302986	0	0	0	0	0.141822405313136	0	0	0	0	0	-0.0890849495888168	0	0	0	0.112871296033349	0	0	0	0.140346966418519	0.0548640408436888	-0.130189183955528	0	0	0	0	0	-0.235338349408074
0.556263000167196	0	2.20350538717698	0.56173684413104	0	0	0.109031373925717	0	0.0929854458701672	0	0.164344294745388	0.137888011416816	0	0	0.15488203393206	0	0.12219187057331	0.0785711845431187	0	0	0	0	0.139646901056659	0	-0.130768692294407	0.119310236584781	0.226540521382383	0	0.153557306447937	-0.0856517956162367
0.750144638072915	0	0	0	0	0	0	0	-0.115157704574216	-0.128996632724478	0	-0.132475752251148	0	0	0	-0.205098019332559	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.359452610408841	0	0	0	0.335300445878064	0	0	0	0	0.32628606485168	0	0.14218118203943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.508753449362207	0	2.72565938884171	0.777198257212952	1.49048443961259	0	0	0	-0.171412132753211	0	0	0.135240487395664	0.131706438749767	0.118394313681862	0	-0.12096976448374	0.1275480161918	0	0.145296008173926	0	0	0.122769064699417	0	-0.0632501221499858	0	0	0.101942660009952	0	0	-0.148803671217278
0.45943096080706	0	1.71398284104116	0	1.27484979363385	0	0	2.50619677714797	0	0	0	0	0.11091440556419	-0.0630975110321321	0	0	0	0.0964267609154232	0	-0.0676427365872735	0	0.137236451072456	0	0	0	0	0.066201472306576	0	0	0
1.27266898535362	0.418812934044961	0	0	-0.538930807102454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.155836984853007	-0.125289166725167	0	0	0	0	0	-0.220902062922172
0	0.626472335191076	0	-0.518150195863183	-0.454032147771751	0.17796592494449	0	0	0	0	0	0	-0.144186609870927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	3.1919298131059	0	0.741263571333291	0	0.375372138308194	0.591770694532705	0	0	0.113271773031285	0	0	0	0	0	0	0.0512683798516929	0	0.111321575200341	0	0	0	0	0	0	0	0	0.122469976428663	-0.251266884885201
0.47789597552013	2.17466827854576	0	0	0	0	0	0	0	1.37785649717754	0	0	0	-0.0877118962133074	0	0	0	0	0	0	-0.115991965246092	0	0	0	0	0	0	0	-0.135832961702855	0
0	5.54320650611934	0.579721241203	0	0	0.234009797152522	0	0	0.865346440764035	0.801172751438496	0.150257274934406	0.396073005101791	0	0	0.201946486255003	0	0	0.0760959990024783	0	0	0	0	0.0711638957701816	0	0	0	0.0887057209137194	0	0	-0.20905251303495
2.32313255928988	7.06258816159674	0	0	0	0.557671883454167	0	0.42846799090611	0.977744937968514	1.39557151123121	0.172201804805852	0	38.7858823321833	0	0	0	0.091328749961709	0.124724984904532	0	0	0	0	0	0.115600979436086	0	0.272696381451617	0.12655903132522	0	0	0.123580102117758
0.877543920145775	6.71865590478457	3.110079148961	0.822072491064873	2.8738049197839	0	0.257449850348276	3.05201538712763	2.23254382211812	0	0.110560244025587	0	20.7597038390515	0	0	0	0	0.156002874916217	0	0	-0.157511205864689	0.0807189977802813	0	0.113545370320152	0	-0.0745598499371661	0	0.11620333228457	0.108521863391753	0
1.51874757743212	5.39036661573091	0	0	0.316164752236378	0	0	0	0	1.59203699084242	0.229866519846018	0	11.4794619730562	0.309779374089812	0.764355631980529	0	0	0	0	0	0	0	0	0	0	0	0	-0.127071571962357	0	0
0.628463449270955	2.93179336580127	0.53845282942988	0.476104082952981	0.393916117954292	0	0	0.844812380476017	1.05550068723887	4.57711358415227	0	0	13.4339593781569	0.568172893154072	1.14267601348284	0.506101300534414	0	0	0	-0.0896730635544613	0	0	0	0	0	0	0	0	0	-0.154000255545146
2.51959712547921	2.76879982136176	1.83299288955626	0.355899284313963	1.12677245193152	0.849994131432427	0.183320599669124	0.933947648331649	2.32234319476414	14.7553490444754	0.142112617126163	0.475203092359688	6.73042177158932	0.30185751136192	1.55831768113431	1.08347791877755	3.85542871039155	0.592693518088076	0	0	0.109806963009893	0.166600226072322	0	0.0954668173887914	0.160743652443753	0.17886794836991	0.144496727576945	0	0.090769781186331	-0.118857140074381
